Tradeoff 1
0.0546875	6.61719
0.109375	6.23438
0.164062	5.87277
0.21875	5.54514
0.273438	5.23257
0.328125	4.9603
0.382812	4.70572
0.4375	4.46347
0.492188	4.2426

Tradeoff 2
0.546875	4.0383
0.601562	3.86632
0.65625	3.69849
0.710938	3.54172
0.765625	3.39056
0.820312	3.24251
0.875	3.11077
0.929688	3.0125241017600004
0.984375	2.91428
1.03906	2.8167
1.09375	2.71964
1.14844	2.62549
1.20312	2.53771
1.25781	2.45311
1.3125	2.37602
1.36719	2.30191
1.42188	2.23161
1.47656	2.16639
1.53125	2.10241
1.58594	2.03959
1.64062	1.97895
1.69531	1.9211
1.75	1.86621
1.80469	1.81152
1.85938	1.75683
1.91406	1.70214

Tradeoff 3
1.96875	1.64842
2.02344	1.60603
2.07812	1.56459
2.13281	1.52305
2.1875	1.48182
2.24219	1.44068
2.29688	1.39965
2.35156	1.35874
2.40625	1.31806
2.46094	1.27854
2.51562	1.24029
2.57031	1.20276
2.625	1.16599
2.67969	1.1292650000000002
2.73438	1.09254
2.78906	1.05686
2.84375	1.0221
2.89844	0.98811
2.95312	0.95475

